,municipality,impact_type,state,rate,value
295,Marikina,Casualties,Serious Injuries,total,5511.0
296,Muntinlupa,Casualties,Serious Injuries,total,4677.0
297,Navotas,Casualties,Serious Injuries,total,2733.0
298,Paranaque,Casualties,Serious Injuries,total,5396.0
299,Pasay,Casualties,Serious Injuries,total,3641.0
300,Pasig,Casualties,Serious Injuries,total,7908.0
301,Pateros,Casualties,Serious Injuries,total,834.0
302,Quezon,Casualties,Serious Injuries,total,20871.0
303,San Juan,Casualties,Serious Injuries,total,1046.0
304,Taguig,Casualties,Serious Injuries,total,8700.0
305,Valenzuela,Casualties,Serious Injuries,total,4398.0
306,Caloocan,Casualties,Life - threatening Injuries,total,1295.0
307,Las Pinas,Casualties,Life - threatening Injuries,total,2775.0
308,Makati,Casualties,Life - threatening Injuries,total,616.0
309,Malabon,Casualties,Life - threatening Injuries,total,609.0
310,Mandaluyong,Casualties,Life - threatening Injuries,total,403.0
311,Manila,Casualties,Life - threatening Injuries,total,392.0
312,Marikina,Casualties,Life - threatening Injuries,total,657.0
313,Muntinlupa,Casualties,Life - threatening Injuries,total,514.0
314,Navotas,Casualties,Life - threatening Injuries,total,354.0
315,Paranaque,Casualties,Life - threatening Injuries,total,496.0
316,Pasay,Casualties,Life - threatening Injuries,total,565.0
317,Pasig,Casualties,Life - threatening Injuries,total,1135.0
318,Pateros,Casualties,Life - threatening Injuries,total,117.0
319,Quezon,Casualties,Life - threatening Injuries,total,2232.0
320,San Juan,Casualties,Life - threatening Injuries,total,105.0
321,Taguig,Casualties,Life - threatening Injuries,total,1018.0
322,Valenzuela,Casualties,Life - threatening Injuries,total,468.0
323,Caloocan,Casualties,Fatalities,total,3114.0
324,Las Pinas,Casualties,Fatalities,total,5449.0
325,Makati,Casualties,Fatalities,total,1491.0
326,Malabon,Casualties,Fatalities,total,1427.0
327,Mandaluyong,Casualties,Fatalities,total,874.0
328,Manila,Casualties,Fatalities,total,817.0
329,Marikina,Casualties,Fatalities,total,1617.0
330,Muntinlupa,Casualties,Fatalities,total,1206.0
331,Navotas,Casualties,Fatalities,total,740.0
332,Paranaque,Casualties,Fatalities,total,1385.0
333,Pasay,Casualties,Fatalities,total,1117.0
334,Pasig,Casualties,Fatalities,total,2387.0
335,Pateros,Casualties,Fatalities,total,239.0
336,Quezon,Casualties,Fatalities,total,5524.0
337,San Juan,Casualties,Fatalities,total,306.0
338,Taguig,Casualties,Fatalities,total,2366.0
339,Valenzuela,Casualties,Fatalities,total,1169.0
